Adj	Ppos	Pneg	Pneut	Likes	Highest
55	1	0.523609529586	0.476390470414	0.485560236226	9	1
56	2	0.513785869912	0.486214130088	0.291786044068	13	1
57	1	0.376819881679	0.623180118321	0.585050431556	3	-1
58	1	0.633148230296	0.366851769704	0.299112946549	22	1
59	1	0.400787808671	0.599212191329	0.680272220774	23	0
60	3	0.391438295831	0.608561704169	0.00191788919854	15	-1
61	4	0.427087347489	0.572912652511	0.393201941781	18	-1
62	2	0.496538628793	0.503461371207	0.66453471857	5	0
63	3	0.573527332577	0.426472667423	0.595089061404	35	0
64	1	0.517423089485	0.482576910515	0.781190316059	15	0
65	3	0.521446830481	0.478553169519	0.590408130565	12	0
66	1	0.457825858069	0.542174141931	0.760967801614	7	0
67	1	0.520527862292	0.479472137708	0.169932367882	16	1
68	3	0.664992926948	0.335007073052	0.340623432815	10	1
69	2	0.570113911661	0.429886088339	0.557991027984	29	1
70	3	0.323497053793	0.676502946207	0.526358399335	13	-1
71	3	0.764304422811	0.235695577189	0.242078084941	14	1
72	1	0.650214120733	0.349785879267	0.333290979245	6	1
73	1	0.490448001093	0.509551998907	0.595089061404	5	0
74	1	0.553561997758	0.446438002242	0.595089061404	3	0
75	1	0.678788064891	0.321211935109	0.651417615826	9	1
76	1	0.523609529586	0.476390470414	0.485560236226	12	1
77	2	0.598638361175	0.401361638825	0.112964180715	18	1
78	1	0.53434815255	0.46565184745	0.893928419874	5	0
79	2	0.678758453867	0.321241546133	0.373264844362	2	1
80	1	0.490448001093	0.509551998907	0.595089061404	5	0
81	2	0.490448001093	0.509551998907	0.595089061404	2	0
82	3	0.610846455958	0.389153544042	0.418952125503	10	1
83	1	0.39191707038	0.60808292962	0.522593536931	8	-1
84	1	0.490448001093	0.509551998907	0.595089061404	1	0
85	3	0.575069780452	0.424930219548	0.450429503457	1	1
86	1	0.541820306463	0.458179693537	0.88697846484	1	0
87	1	0.522120767102	0.477879232898	0.839818506845	5	0
88	2	0.509564560842	0.490435439158	0.595089061404	4	0
89	2	0.65026687061	0.34973312939	0.174876493104	9	1
90	1	0.488921760179	0.511078239821	0.753460390616	3	0
91	1	0.66118796659	0.33881203341	0.876536578306	8	0
92	1	0.481929516716	0.518070483284	0.522593536931	3	0
93	1	0.60837821737	0.39162178263	0.00982411687313	7	1
94	1	0.569552636109	0.430447363891	0.714710710265	11	0
95	2	0.626898810811	0.373101189189	0.812633344112	2	0
96	1	0.482229704463	0.517770295537	0.846466203426	7	0
97	2	0.70544169459	0.29455830541	0.680720555477	37	1
98	2	0.69060151168	0.30939848832	0.484360906228	6	1
99	3	0.370186365599	0.629813634401	0.551936875667	6	-1
100	1	0.540150819232	0.459849180768	0.476709499103	13	1
